iter	RMSE
0	4.488255477
1	4.371028814
2	4.308504765
3	4.23779473
4	4.173404925
5	4.143079956
6	4.098301039
7	4.039081116
8	4.014241681
9	3.987212267
10	3.96030906
11	3.944204027
12	3.932412686
13	3.915510903
14	3.904336309
15	3.89179422
16	3.87763452
17	3.860897741
18	3.849482342
19	3.83766139
20	3.825911968
21	3.813392338
22	3.802383813
23	3.794329551
24	3.786022913
25	3.776337638
26	3.770543147
27	3.75913561
28	3.750889366
29	3.742279143
30	3.731439328
31	3.723724238
32	3.717773219
33	3.707794295
34	3.698208092
35	3.691575831
36	3.687967437
37	3.676892386
38	3.671281066
39	3.660077556
40	3.6499823
41	3.643273595
42	3.640394601
43	3.634978712
44	3.627780982
45	3.620179891
46	3.614704633
47	3.608262927
48	3.603106508
49	3.59598494
